citation_key,authors,year,paper_title,source_table,row_label,root_label,object_type,object_id,Re,geometry_label,norm,E,D,H,unstable_dim,unstable_dim_H,accuracy,frequency,notes
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ13,,EQ,EQ13,400,GHC,0.4049,0.0813,3.3610,"{e,sigma_xu}",15,9,1e-3,,
Sharma2020,Sharma,2020,,Sharma,mean,,mean,mean,270,GHC,0.2286,0.1089,1.4813,{e},,,,,,
Sharma2020,Sharma,2020,,Sharma,EQ8,,EQ,EQ8,270,GHC,0.3466,0.0853,3.6719,Theta,21,2,1e-3,,
Sharma2020,Sharma,2020,,Sharma,EQ1,Pi_11(EQ8),EQ,EQ1,270,GHC,0.2292,0.1294,1.5415,Sigma,1,1,1e-2,,
Sharma2020,Sharma,2020,,Sharma,EQ7,Pi_3(EQ8),EQ,EQ7,270,GHC,0.1546,0.1301,1.5530,Theta,5,1,1e-2,,
Sharma2020,Sharma,2020,,Sharma,EQ20,Pi_38(EQ8),EQ,EQ20,270,GHC,0.3148,0.0904,3.1529,K,12,0,1e-2,,
Sharma2020,Sharma,2020,,Sharma,EQ12,Pi_2(EQ1),EQ,EQ12,270,GHC,0.2297,0.1292,1.5444,Theta6,2,2,1e-2,,
Sharma2020,Sharma,2020,,Sharma,mean,,mean,mean,330,GHC,0.2541,0.0959,1.6660,{e},,,,,,
Sharma2020,Sharma,2020,,Sharma,EQ6,,EQ,EQ6,330,GHC,0.2751,0.0972,2.8185,Sigma,19,5,1e-3,,
Sharma2020,Sharma,2020,,Sharma,EQ1,Pi_6(EQ6),EQ,EQ1,330,GHC,0.2168,0.1337,1.4705,Sigma,1,1,1e-3,,
Sharma2020,Sharma,2020,,Sharma,EQ5,Pi_40(EQ6),EQ,EQ5,330,GHC,0.2375,0.1052,2.2785,Sigma,15,6,1e-2,,
Sharma2020,Sharma,2020,,Sharma,EQ7,Pi_2(EQ6),EQ,EQ7,330,GHC,0.1145,0.1410,1.3433,Theta,3,1,1e-3,,
Sharma2020,Sharma,2020,,Sharma,EQ17,Pi_67(EQ6),EQ,EQ17,330,GHC,0.2348,0.1063,2.3047,Theta6,15,8,1e-2,,
Sharma2020,Sharma,2020,,Sharma,EQ19,Pi_42(EQ6),EQ,EQ19,330,GHC,0.2674,0.0988,2.6947,Theta6,18,9,1e-2,,
Sharma2020,Sharma,2020,,Sharma,EQ12,Pi_31(EQ19),EQ,EQ12,330,GHC,0.2331,0.1292,1.5650,Theta6,3,2,1e-3,,
Sharma2020,Sharma,2020,,Sharma,EQ18,Pi_66(EQ19),EQ,EQ18,330,GHC,0.2707,0.0975,2.6274,Theta6,17,9,1e-2,,
Sharma2020,Sharma,2020,,Sharma,mean,,mean,mean,400,GHC,0.2997,0.1016,2.6017,{e},,,,,,
Sharma2020,Sharma,2020,,Sharma,EQ0,,EQ,EQ0,400,GHC,0.0000,0.1667,1.0000,Gamma,0,0,,,
Sharma2020,Sharma,2020,,Sharma,EQ3,Pi_3(EQ4),EQ,EQ3,400,GHC,0.1259,0.1382,1.3177,Sigma,4,2,1e-4,,
Sharma2020,Sharma,2020,,Sharma,EQ4,,EQ,EQ4,400,GHC,0.1681,0.1243,1.4537,Sigma,6,3,1e-6,,
Sharma2020,Sharma,2020,,Sharma,EQ1,Pi_1(EQ2),EQ,EQ1,400,GHC,0.2091,0.1363,1.4293,Sigma,1,1,1e-6,,
Sharma2020,Sharma,2020,,Sharma,EQ5,,EQ,EQ5,400,GHC,0.2186,0.1073,2.0201,Sigma,11,4,1e-3,,
Sharma2020,Sharma,2020,,Sharma,EQ2,Pi_5(EQ14),EQ,EQ2,400,GHC,0.3858,0.0780,3.0437,Sigma,8,2,1e-4,,
Sharma2020,Sharma,2020,,Sharma,EQ7,Pi_2(EQ5),EQ,EQ7,400,GHC,0.0936,0.1469,1.2523,Theta,3,1,1e-4,,
Sharma2020,Sharma,2020,,Sharma,EQ9,Pi_7(EQ4),EQ,EQ9,400,GHC,0.1565,0.1290,1.4048,Theta6,5,3,1e-4,,
Sharma2020,Sharma,2020,,Sharma,EQ10,,EQ,EQ10,400,GHC,0.3285,0.1080,2.3721,Theta6,10,7,1e-4,,
Sharma2020,Sharma,2020,,Sharma,EQ11,,EQ,EQ11,400,GHC,0.4049,0.0803,3.4322,Theta6,13,10,1e-3,,
Sharma2020,Sharma,2020,,Sharma,EQ12,Pi_5(EQ9),EQ,EQ12,400,GHC,0.2405,0.1289,1.6034,Theta6,3,2,1e-5,,
Sharma2020,Sharma,2020,,Sharma,EQ13,Pi_3(EQ10),EQ,EQ13,400,GHC,0.2683,0.1242,1.7630,Theta6,4,3,1e-6,,
Sharma2020,Sharma,2020,,Sharma,EQ15,Pi_7(EQ10),EQ,EQ15,400,GHC,0.3037,0.1160,2.0713,Theta6,8,6,1e-5,,
Sharma2020,Sharma,2020,,Sharma,EQ14,Pi_7(EQ11),EQ,EQ14,400,GHC,0.4014,0.0759,3.2474,Theta6,10,4,1e-5,,
Sharma2020,Sharma,2020,,Sharma,EQ16,Pi_10(EQ11),EQ,EQ16,400,GHC,0.4049,0.0813,3.3612,Theta6,15,9,1e-5,,
